                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5825,                 3.6597,                 2.0024,                 0.0031,                0.88889,                0.18436,                0.02604,                 1.3544,                 3.8124,                 1.9556,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.3498,                 3.6159,                 1.8389,                0.00248,                0.77778,                0.05529,                 0.0372,                0.88354,                 3.6779,                 1.6423,               0.090096,              0.0010964,              0.0010964
                      2,                 1.0355,                 3.5044,                 1.4996,                0.00334,                      1,                 0.2962,                0.15349,                0.84194,                 3.5918,                 1.4486,               0.084689,              0.0016888,              0.0016888
                      3,                0.77783,                  3.243,                 1.2572,                0.00304,                0.88889,                0.27995,                 0.2329,                0.66696,                 3.4412,                 1.2524,               0.079277,              0.0022772,              0.0022772
                      4,                 0.7961,                  3.035,                 1.2604,                0.00511,                      1,                0.49191,                0.39024,                0.72393,                 3.3135,                 1.2802,               0.073862,              0.0028617,              0.0028617
                      5,                0.76746,                 2.6934,                 1.1985,                0.00548,                      1,                0.65706,                0.53506,                0.65559,                 3.1077,                 1.2091,               0.068442,              0.0034422,              0.0034422
                      6,                0.70351,                 2.3769,                 1.1739,                 0.0074,                      1,                0.67758,                0.56719,                 0.5741,                 2.9432,                 1.1653,               0.063019,              0.0040188,              0.0040188
                      7,                0.75355,                 2.2147,                 1.2159,                  0.894,                 0.1456,                0.62667,                0.45814,                0.90853,                 3.0177,                 1.3475,               0.057591,              0.0045914,              0.0045914
                      8,                0.73374,                 2.0268,                 1.1539,                0.00439,                      1,                0.59483,                0.46685,                0.82448,                  3.104,                 1.3569,                0.05216,              0.0051601,              0.0051601
                      9,                0.70622,                 1.8488,                 1.1389,                0.69618,                0.51715,                0.71444,                0.56249,                0.69117,                 2.9086,                 1.2283,               0.046725,              0.0057248,              0.0057248
                     10,                0.71206,                 1.6813,                 1.1425,                0.71007,                0.43333,                 0.7597,                0.60421,                0.80876,                 2.6601,                 1.3354,               0.041285,              0.0062855,              0.0062855
                     11,                0.69192,                 1.6503,                 1.1135,                0.48754,                0.37778,                0.67551,                0.52456,                0.96486,                 2.6702,                 1.5531,               0.035842,              0.0068423,              0.0068423
                     12,                0.68197,                 1.4425,                 1.0988,                0.51014,                0.53333,                0.80694,                0.62607,                 0.8641,                 2.5438,                 1.4992,               0.030395,              0.0073951,              0.0073951
                     13,                0.77042,                 1.3986,                 1.1225,                 0.9168,                0.59833,                 0.8125,                0.61413,                 0.9523,                 2.4204,                 1.6449,               0.024944,              0.0079439,              0.0079439
                     14,                0.76661,                 1.3276,                 1.1223,                0.89172,                0.76667,                0.88204,                0.65166,                  1.032,                 2.1834,                 1.5546,               0.019489,              0.0084888,              0.0084888
                     15,                0.82082,                 1.4664,                 1.1816,                0.75886,                0.83333,                0.87595,                0.69367,                0.79747,                 2.0305,                 1.3485,                0.01403,              0.0090297,              0.0090297
                     16,                0.71457,                 1.2478,                 1.0945,                 0.7962,                0.82468,                0.80139,                0.53796,                 1.3401,                 2.6343,                   1.99,               0.009472,               0.009472,               0.009472
                     17,                0.81347,                 1.3384,                 1.1397,                0.60599,                    0.5,                0.56013,                 0.4378,                  1.067,                 3.1772,                 1.6669,               0.009472,               0.009472,               0.009472
                     18,                0.70342,                 1.3282,                 1.0987,                0.76511,                0.27011,                0.63004,                0.33592,                 1.1644,                 3.2634,                 1.7686,               0.009439,               0.009439,               0.009439
